10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
748.84,1714.92,2472.84,3417.96,4446.05,5243.1,5966.13,6927.56,7777.64,8940.0
770.16,1722.72,2498.76,3434.13,4374.79,5267.78,5980.47,6951.35,7820.62,8957.0
791.4,1730.73,2521.85,3449.88,4392.95,5285.88,5994.41,6976.51,7863.77,8974.0
812.15,1738.51,2542.03,3465.95,4410.78,5307.0,6011.76,7001.19,7906.45,8974.0
