id,total_count
916124_Ag_SE_s_xlm,133207
2022037_Ag_EU_HOPE_FESPhotographs,131491
9200338_Ag_EU_TEL_a0621_Newspapers_HamburgLibrary,131101
92004_NL_Manuscriptorium_CZ,130393
364_CulturaItalia_Archivio_mercante_Francesco,129690
10501_Ag_PT_RNOD,129463
03928_Ag_FR_MCC_MEMOIRE_MHR_IMAGE,128192
2048001_Ag_EU_AthenaPlus_KIK_IRPA,126241
517_OpenUp_MNHN_Pt1,126010
11620_OpenUp_MNHN,125670
519_OpenUp_MNHN_Pt3,125600
916121_Ag_SE_s_olm,125272
518_OpenUp_MNHN_Pt2,124880
180_IALHI_antifa,124819
0940433_Malopolska_Biblioteka_Cyfrowa,124661
9200519_Ag_BnF_Gallica_typedoc_manuscrits,123885
954_Ministerul_Culturii_Manifestations,121678
932_ekulturaConsumerCards,120247
91670_SwedishNationalHeritage_smvk_vkm_arkiv,118790
2021634_Ag_NL_DigitaleCollectie_brabantsHIC,118373
134_SOCH_VGM,117479
11601_OpenUp_NHMV,115910
2048024_Ag_EU_AthenaPlus_CentraleRoma,115387
9200333_Newspapers_TessmannLibrary,115179
04202_L_BE_UniLibGent_googlebooks,113600
9200110_Ag_EU_TEL_a1010_EuropeanaLibraries,113162
11643_Ag_EU_OpenUp!_BATCH14:NBCNL_DWCA,111400
122_EKT_elia,110913
03929_Ag_FR_MCC_MEMOIRE_ARCHEO_IMAGE,110142
111_Hispana_jable,108536
916123_SOCH_SormlandsMuseum,107177
951_Ministerul_Culturii_Artifacts,106562
2020707_Ag_EU_CARARE_GAI,104659
753_Anno_Domkirkeodden,104289
174_Digiphil_Digital_Academy_of_Literature,104198
0940429_Biblioteka_Cyfrowa_Uniwersytetu_Wroclawskiego,103916
916109_SwedishNationalHeritage_Sjohistoriska,103829
916106_Ag_SE_SwedishNationalHeritage_va_vbg,103249
0940406_BibliotekaCyfrowaRegionaliaZiemiLodzkiej_pt1,102852
2048221_EuropeanaFashion_1040,102491
262_CARARE_AISCR,101580
04802_AA_ASSETS_INA,101356
11628_Ag_EU_OpenUp!_FOTO_AM,101323
206_DDB_Heidicon,100679
375_DigiPhil_Szentendrei_Szabadteri_Neprajzi_Muzeum,100270
2022710_Ag_ES_Hispana_hdmurcia,99328
91616_Ag_SE_SwedishNationalHeritage_Armemuseet,99158
2021801_Ag_LT_SNL_Archival_documents,94987
2022712_Ag_ES_Hispana_gredos,94738
2020708_Ag_EU_CARARE_ADS,94498
2022708_Ag_ES_Hispana_bvclm,94223
2021626_Ag_NL_DigitaleCollectie_de_hollandsche_mol,94187
2021008_Ag_FI_NDL_lusto,93511
2051906_Ag_EU_EUscreen_1019,93105
2021657_Ag_NL_DigitaleCollectie_DIMCONMUSEON,93077
9200356_Ag_EU_TEL_a0616_Newspapers_Estonia,92653
9200579_Ag_UK_WellcomeCollection_IIIF,92480
91627_SOCH_smvk_emfoto,92017
11603_Ag_EU_OpenUp!_LANDOOE,91679
2022719_Hispana_Galiciana_Arxivo,91291
222_Slovenia_Newspapers_Part1,88577
117_Ag_FI_NDL_hkm,88503
338_EKT_AthensAcademy1,88290
2051922_TV3_Television_of_Catalonia,88179
669_DDB_SKD,87148
2021631_Ag_NL_DigitaleCollectie_zaanstad,85508
91666_Ag_SE_SwedishNationalHeritage_smvk_arkiv,83705
2059218_Ag_EU_eSOUNDS_1016_ICCU,83122
11646_Ag_EU_OpenUp!_BATCH11:NBCNL_DWCA,82000
2051908_Ag_EU_EUscreenXL_1024,81861
91619_Ag_SE_SwedishNationalHeritage_smvk_em,81675
2064109_Spielzeug_Museum,80306
11644_Ag_EU_OpenUp!_BATCH13:NBCNL_DWCA,80000
2024904_Ag_EU_EuropeanaPhotography_TopFoto_1013,76112
91608_SwedishNationalHeritage_smvk_vkm,75239
22_Byzart_1_WholeCollection,75075
165_LinBi_Real_Jardin_Botanico_Madrid,74638
9200111_Ag_EU_TEL_a1041_EuropeanaLibraries,74233
916122_Ag_SE_s_hm,73678
08611_Cineteca_di_Bologna,73157
08609_EFG_Filmoteka_Narodowa,71958
2058806_Ag_EU_EAGLE_EDR,71826
2020801_Ag_EU_thinkMOTION_all,71807
185_Kulturpool_monasterium,71134
90901_L_ES_BVMC_Collection_ark_bvmc,70971
89_DDB_HAUM,70499
2022043_Ag_EU_HOPE_OSAInfoItems,70292
9200517_Ag_BnF_Gallica_typedoc_cartes,70174
718_Museu_AjuntamentDeGirona,69768
9200303_Ag_EU_TEL_a0617_Newspapers_Latvia,69758
545_Hispana_BDCastillayLeon,69497
546_Hispana_BDComunidadMadrid,69472
2058801_Ag_EU_EAGLE_EDH,69053
2051914_Ag_EU_EUscreenXL_1028,68857
91658_Ag_SE_SwedishNationalHeritage_malmo_objekt,68672
2022716_Ag_ES_Hispana_fedac,68102
2048437_Ag_DE_DDB_HLBFulda,67548
505_DDB_bbwa,67089
2021650_Ag_NL_DigitaleCollectie_nimh,66758
2058628_Erfgoedplus_be_Erfgoedregister,66584
2021641_Ag_NL_DigitaleCollectie_GooienVecht,66237
2022362_Ag_UK_CultureGrid_Royal_Museums_Greenwich,65364
08604_Deutsches_Filminstitut,64726
9200360_Ag_EU_TEL_a0639_Newspapers_Luxembourg,64271
2021011_Ag_FI_NDL_aika,64076
09102_Ag_EU_MIMO,63477
2020718_Ag_EU_CARARE_CHA2,63466
2024907_Ag_EU_EuropeanaPhotography_Gencat_1062,63308
2022039_Ag_EU_HOPE_FESLibrarySPDP,62981
814__Grodzka_Gate_NN_Theatre_incl_3D,62172
770_DDB_IMMH,61954
2022320_Ag_UK_ELocal_KirkleesImageArchive,61667
0940411_Bibliotekaelblaska_pt1,61215
670_DDB_Weltsichten0,61105
2021632_Ag_NL_DigitaleCollectie_archiefbreda,60870
1075_Museum_Catharijneconvent,60795
2021646_Ag_NL_DigitaleCollectie_centrum_limburg,60581
9200394_Slovenia_Laibacher_Zeitung,59738
2022076_Ag_EU_HOPE_FESTrade,59694
756_Anno_Glomdalsmuseet,58512
160_Ag_EU_JHN_JHInstitute,58492
0940423_FBC_WielkopolskaBibliotekaCyfrowa_Part2,58160
2058611_Ag_EU_LoCloud_Swiss,56746
2048211_EuropeanaFashion_1019,56464
339_Hispana_UniversidadDeLaLaguna,56307
916108_Ag_SE_SwedishNationalHeritage_Marinmuseum,55639
2048232_EuropeanaFashion_1055,55166
2058612_Ag_EU_LoCloud_maeyaert,55005
2048425_Ag_DE_DDB_GESIS,54945
9200470_UL_Periodicals_Lucian_Blaga,54922
2051904_Deutsche_Welle,54380
11602_Herbarium_WU,54058
91624_Ag_SE_SwedishNationalHeritage_shm_obj,53552
0940415_Ag_PL_mbc.cyfrowemazowsze.pl,53449
